smartphone,スマートフォン
github,ギットハブ
chatgpt,チャットGPT
developer,デベロッパー
repository,リポジトリ
api,エーピーアイ
database,データベース
server,サーバー
docker,ドッカー
kubernetes,クーバネテス
javascript,ジャバスクリプト
typescript,タイプスクリプト
frontend,フロントエンド
backend,バックエンド
framework,フレームワーク
library,ライブラリ
package,パッケージ
module,モジュール
component,コンポーネント
function,ファンクション
variable,バリアブル
constant,コンスタント
interface,インターフェース
class,クラス
method,メソッド
property,プロパティ
parameter,パラメータ
argument,アーギュメント
return,リターン
callback,コールバック
promise,プロミス
async,アシンク
await,アウェイト